Business Id,Business Name,Address,Take-out,Wi-Fi,Alcohol,Good for Kids,Parking,Good For Lunch,Good For Dinner,Good For Dessert,Good For Latenight,Good For Brunch,Good For Breakfast,Stars
mVHrayjG3uZ_RLHkLj-AMg,Restaurant,414 Hawkins Ave Braddock PA 15104,1,0,1,0,0,0,0,0,0,0,0,4.5,
KayYbHCt-RkbGcPdGOThNg,Restaurant,141 Hawthorne St Greentree Carnegie PA 15106,1,0,1,0,1,0,1,0,0,0,0,4.0,
wJr6kSA5dchdgOdwH6dZ2w,Restaurant,2100 Washington Pike Carnegie PA 15106,1,0,1,0,0,0,0,0,0,0,0,3.5,
fNGIbpazjTRdXgwRY_NIXA,Restaurant,1201 Washington Ave Carnegie PA 15106,0,0,1,1,0,0,0,0,0,0,0,4.0,
b9WZJp5L1RZr4F1nxclOoQ,Restaurant,1073 Washington Ave Carnegie PA 15106,1,0,1,0,1,0,0,0,0,0,1,4.5,
zaXDakTd3RXyOa7sMrUE1g,Restaurant,202 3rd Ave Carnegie Carnegie PA 15106,1,0,1,0,0,0,0,0,0,1,0,4.0,
WETE_LykpcnrC1sFcQ5EGg,Restaurant,215 E Main St Carnegie Carnegie PA 15106,1,0,1,0,1,0,1,0,0,0,0,3.5,
rv7CY8G_XibTx82YhuqQRw,Restaurant,Raceway Plz Carnegie PA 15106,1,0,1,0,0,0,0,0,0,0,0,3.5,
SQ0j7bgSTazkVQlF5AnqyQ,Restaurant,214 E Main St Carnegie Carnegie PA 15106,1,0,1,0,0,0,0,0,0,0,0,2.5,
wqu7ILomIOPSduRwoWp4AQ,Restaurant,2180 Greentree Rd Pittsburgh PA 15220,1,0,1,0,0,0,0,0,0,1,1,4.0,
P1fJb2WQ1mXoiudj8UE44w,Restaurant,200 E Main St Carnegie Carnegie PA 15106,1,0,1,0,1,0,1,0,0,0,0,3.5,
PK6aSizckHFWk8i0oxt5DA,Restaurant,400 Waterfront Dr E Homestead Homestead PA 15120,1,0,1,0,0,0,0,0,0,0,0,2.0,
sRqB6flj3GtTZIZJQxf_oA,Restaurant,285 Waterfront Dr E Homestead Homestead PA 15120,0,0,1,0,0,0,0,0,0,0,0,2.5,
6ilJq_05xRgek_8qUp36-g,Restaurant,650 E  Waterfront Dr Homestead Munhall PA 15120,1,0,1,0,1,0,0,0,0,0,0,2.0,
MKyk4F4HSzHF8v-4cYe3Ww,Restaurant,171 E Bridge St Homestead Homestead PA 15120,0,0,1,0,1,0,0,0,0,0,0,3.5,
1qCuOcks5HRv67OHovAVpg,Restaurant,122 W 8th Ave Homestead Homestead PA 15120,1,0,1,0,1,0,0,0,0,0,0,3.5,
sbW8qHJgzEIH42B0S-3New,Restaurant,180 E Waterfront Dr Homestead Homestead PA 15120,1,0,1,0,1,0,0,0,0,0,0,3.0,
McikHxxEqZ2X0joaRNKlaw,Restaurant,171 E Bridge St Homestead Homestead PA 15120,1,0,1,0,1,0,1,0,0,0,0,3.5,
EoAY1JSVeJriBzId8lUQwQ,Restaurant,244 W Bridge St Homestead West Homestead PA 15120,1,0,1,0,1,0,1,0,0,0,0,2.5,
TfvWSIAMFZ9zI3y2-K6wOA,Restaurant,3360 Main St Munhall PA 15120,1,0,1,0,0,0,0,0,0,0,0,2.5,
tU-YtoW339PXJmUGSix_AQ,Restaurant,185 Waterfront Dr W Homestead Homestead PA 15120,1,0,1,0,0,0,0,0,0,0,0,2.5,
6p9TlP2I8S4agxYMNFSDjg,Restaurant,205 East Waterfront Drive Homestead Homestead PA 15120,1,0,1,0,1,0,1,0,0,0,0,3.0,
JDDeaNfb0JXD1NbznSIC9g,Restaurant,The Waterfront 148 W Bridge St Homestead Homestead PA 15120,1,0,1,0,1,0,1,0,0,0,0,3.0,
FiXamVMgMf9U0VqFHDZSEA,Restaurant,210 West Bridge Street Homestead West Homestead PA 15120,1,0,1,0,1,0,0,0,0,1,1,3.0,
uLnDFdn011hEroQQMLmxNQ,Restaurant,3502 Main St Homestead PA 15120,1,0,0,0,0,0,0,0,0,0,0,3.0,
